short_name,position,overall,wage_eur,age,height_cm,weight_kg,club_name,nationality_name
S. Novothny,Offense,64,6000.0,27,185,84,VfL Bochum 1848,Hungary
C. Maguire,Offense,66,5000.0,32,170,68,Lincoln City,Scotland
Filipe Ferreira,Defense,72,10000.0,30,178,70,Boavista FC,Portugal
D. Asprilla,Midfield,65,2000.0,29,180,75,Portland Timbers,Colombia
S. Piçinciol,Defense,65,3000.0,25,182,79,GZT Giresunspor,Turkey
P. Ostachuk,Defense,59,2000.0,21,185,76,Club Atlético Independiente,Argentina
Quintana,Defense,66,1000.0,19,186,74,Málaga CF,Spain
F. Jungwirth,Defense,66,2000.0,32,181,79,Vancouver Whitecaps FC,Germany
A. Al Badaoui,Midfield,65,3000.0,25,179,72,AD Alcorcón,Morocco
A. Legzdins,GoalKeeper,63,1000.0,34,190,90,Dundee FC,England
G. Bong,Defense,68,17000.0,33,187,74,Nottingham Forest,Cameroon
Y. Konishi,Midfield,65,1000.0,23,169,66,Tokushima Vortis,Japan
E. Reitan,Defense,65,2000.0,23,180,70,Rosenborg BK,Norway
D. Samek,Defense,70,500.0,17,184,80,SK Slavia Praha,Czech Republic
S. Hogervorst,Defense,57,550.0,18,190,80,Fortuna Sittard,Netherlands
H. Dalsgaard,Defense,73,20000.0,31,192,81,FC Midtjylland,Denmark
B. Gartland,Defense,62,750.0,34,188,85,Dundalk FC,Republic of Ireland
Kim Kwang Suk,Defense,68,2000.0,38,182,74,Incheon United FC,Korea Republic
G. Kondogbia,Defense,79,58000.0,28,188,76,Atlético de Madrid,Central African Republic
J. Lundstram,Midfield,72,35000.0,27,181,74,Rangers FC,England
M. Haïdara,Defense,73,22000.0,28,179,76,Racing Club de Lens,Mali
K. Coulibaly,Offense,70,16000.0,29,197,87,FC Nantes,Mali
V. Gustafson,Defense,61,700.0,26,176,73,Mjällby AIF,Sweden
T. Kroos,Midfield,88,310000.0,31,183,76,Real Madrid CF,Germany
Somália,Defense,70,650.0,32,180,73,Ferencvárosi TC,Brazil
F. Lanzillotta,GoalKeeper,66,3000.0,28,185,80,Argentinos Juniors,Argentina
T. Hájek,Defense,66,5000.0,29,187,77,Vitesse,Czech Republic
O. Bulut,Defense,65,4000.0,27,179,69,Yukatel Kayserispor,Germany
D. Hägele,Defense,66,3000.0,32,186,76,FC Würzburger Kickers,Germany
O. Schmitt,Offense,61,4000.0,21,180,73,Sportclub Verl,Germany
V. Rongier,Defense,77,38000.0,26,172,70,Olympique de Marseille,France
I. Maela,Defense,69,500.0,28,170,68,Orlando Pirates,South Africa
M. McFadden,Midfield,49,500.0,20,175,70,Derry City,Republic of Ireland
É. Banega,Defense,82,46000.0,33,174,75,Al Shabab,Argentina
H. Boumous,Midfield,70,2000.0,25,173,72,ATK Mohun Bagan FC,Morocco
N. Čumić,Midfield,71,800.0,22,176,70,FC Luzern,Serbia
F. Flores,Defense,65,500.0,31,181,88,Deportivo Táchira FC,Venezuela
R. Cancino,GoalKeeper,57,500.0,21,183,82,Unión La Calera,Chile
C. Lombardi,Midfield,67,16000.0,25,180,75,Lazio,Italy
M. Lustig,Defense,71,6000.0,34,189,78,AIK,Sweden
L. Delap,Offense,64,9000.0,18,186,72,Manchester City,England
T. Çamdal,Defense,64,4000.0,30,176,63,Adana Demirspor,Turkey
Bobô,Offense,69,4000.0,36,188,85,Sydney FC,Brazil
B. Pitman,Offense,64,4000.0,33,183,70,Bristol Rovers,England
H. Adelakun,Midfield,65,4000.0,25,188,75,Lincoln City,England
C. Michelin,Defense,74,950.0,24,178,65,AEK Athens,France
T. Goppel,Offense,65,2000.0,24,178,73,SV Wehen Wiesbaden,Netherlands
E. Pieters,Defense,74,27000.0,32,183,87,Burnley,Netherlands
Ricardo Alves,Defense,68,3000.0,30,181,78,CD Tondela,Portugal
Kim Jun Yub,Defense,63,1000.0,33,178,76,Incheon United FC,Korea Republic
T. Stavitski,Offense,63,1000.0,21,180,78,Stade Malherbe Caen,Finland
S. Rojas,GoalKeeper,70,500.0,25,185,80,Club Nacional,Paraguay
Y. Armougom,Defense,66,2000.0,23,173,71,Stade Malherbe Caen,France
G. Satsias,Midfield,60,500.0,18,181,70,APOEL Nicosia FC,Cyprus
M. Malec,Defense,65,2000.0,26,190,84,Pogoń Szczecin,Poland
S. Grether,Defense,66,5000.0,29,179,77,FC Luzern,Switzerland
Bruno Mendes,Offense,69,3000.0,26,184,82,Avispa Fukuoka,Brazil
P. Lienhart,Defense,76,21000.0,24,189,83,Sport-Club Freiburg,Austria
Jo Sung Joon,Midfield,64,2000.0,30,176,67,Jeju United FC,Korea Republic
M. Morrison,Defense,71,17000.0,33,188,76,Reading,England
M. Al Qarni,Defense,61,3000.0,31,180,66,Al Batin,Saudi Arabia
M. Lliuya,Offense,68,500.0,29,168,73,Sport Huancayo,Peru
T. Minamino,Offense,75,84000.0,26,174,67,Liverpool,Japan
N. Woltemade,Midfield,63,2000.0,19,198,78,SV Werder Bremen,Germany
Fran Gámez,Defense,70,6000.0,29,174,71,Real Zaragoza,Spain
Lee Gwang Hyeok,Midfield,66,3000.0,25,169,60,Pohang Steelers,Korea Republic
Ferro,Defense,75,10000.0,24,191,78,SL Benfica,Portugal
P. Yeboah,Offense,59,2000.0,18,186,75,Hellas Verona,Ghana
S. Cáceres,Defense,74,25000.0,21,180,77,Club América,Uruguay
X. Kouassi,Defense,68,2000.0,31,174,69,Pau FC,Côte d'Ivoire
A. Nahuelpan,Offense,67,500.0,33,190,92,Club Atlético Peñarol,Argentina
Marafona,GoalKeeper,71,7000.0,34,190,86,Aytemiz Alanyaspor,Portugal
A. Grbic,Offense,70,10000.0,24,188,82,FC Lorient,Austria
J. Gressel,Midfield,73,8000.0,27,185,84,D.C. United,Germany
C. Garcés,Offense,72,1000.0,31,185,85,Barcelona Sporting Club,Ecuador
Y. Benzia,Midfield,70,4000.0,26,179,71,Dijon FCO,Algeria
T. Heintz,Midfield,65,2000.0,22,173,69,BK Häcken,Norway
E. Zubak,Offense,59,1000.0,23,183,75,LA Galaxy,United States
K. Kairinen,Midfield,63,1000.0,22,186,70,Lillestrøm SK,Finland
Huang Xiyang,Defense,54,1000.0,36,178,70,Chongqing Liangjiang Athletic,China PR
V. Jensen,Midfield,66,3000.0,21,175,70,Ajax,Denmark
B. Ruiz,Defense,58,500.0,18,170,64,Aragua Fútbol Club,Venezuela
P. Tietz,Offense,66,5000.0,23,190,89,SV Darmstadt 98,Germany
D. Orsi,Offense,61,2000.0,25,188,73,Harrogate Town,England
M. Hudson,GoalKeeper,59,3000.0,22,193,75,Preston North End,England
M. Távara,Defense,70,600.0,22,180,73,Club Sporting Cristal,Peru
M. Youssouf,Defense,63,1000.0,33,168,64,AC Ajaccio,Comoros
G. May,Offense,63,500.0,23,178,76,Club Nacional de Football,Uruguay
I. Radovanović,Defense,74,14000.0,32,187,80,Genoa,Serbia
F. Kostić,Defense,84,52000.0,28,184,82,Eintracht Frankfurt,Serbia
Manu Hernando,Defense,65,2000.0,22,183,70,CD Tondela,Spain
Portillo,Midfield,72,9000.0,31,169,60,Unión Deportiva Almería,Spain
Kwon Chang Hoon,Midfield,73,6000.0,27,173,72,Suwon Samsung Bluewings,Korea Republic
D. Linsmayer,Defense,68,8000.0,29,182,79,FC Ingolstadt 04,Germany
A. Al-Ammari,Midfield,56,750.0,23,183,70,Halmstads BK,Sweden
M. Schwäbe,GoalKeeper,71,13000.0,26,188,83,1. FC Köln,Germany
J. Sands,Defense,70,3000.0,20,180,73,New York City FC,United States
C. Ansaldi,Defense,78,41000.0,34,181,76,Torino F.C.,Argentina
Carlos Beitia,Offense,60,3000.0,21,185,77,RC Celta de Vigo,Spain
M. Flis,Defense,63,950.0,27,185,75,PGE FKS Stal Mielec,Poland
E. Hill,Midfield,51,1000.0,18,180,75,Mansfield Town,England
N. Keïta,Midfield,80,110000.0,26,172,64,Liverpool,Guinea
M. Zeidan,Midfield,60,750.0,23,169,73,IK Sirius,Sweden
T. D'Almeida,Defense,56,4000.0,20,185,69,Cardiff City,Côte d'Ivoire
A. Crețu,Defense,67,5000.0,29,189,85,Universitatea Craiova,Romania
G. Guruceaga,GoalKeeper,68,500.0,26,194,82,Montevideo City Torque,Uruguay
L. Škaričić,Defense,61,500.0,19,190,80,Hajduk Split,Croatia
Toni Herrero,Defense,64,4000.0,20,178,74,Levante Unión Deportiva,Spain
B. Bekaroğlu,Defense,60,2000.0,24,185,78,Fatih Karagümrük S.K.,Turkey
Wang Hao,Defense,62,3000.0,28,185,81,Qingdao FC,China PR
C. Pickel,Defense,70,5000.0,24,184,76,Futebol Clube de Famalicão,Switzerland
M. Al Owais,GoalKeeper,70,16000.0,29,187,79,Al Ahli,Saudi Arabia
Ramón da Almeyda,Defense,74,14000.0,25,178,80,Cuiabá,Brazil
M. Woledzi,Defense,62,1000.0,19,187,79,FC Nordsjælland,Ghana
Huang Bowen,Defense,69,10000.0,33,181,72,Guangzhou FC,China PR
C. Riedel,Defense,55,500.0,17,183,71,SV Darmstadt 98,Germany
L. Quiñones,Midfield,76,43000.0,30,178,66,Tigres U.A.N.L.,Colombia
L. Molyneux,Midfield,59,2000.0,23,180,69,Hartlepool United,England
Raphael Doninho,Midfield,64,5000.0,21,168,64,Grêmio,Brazil
S. Mohlin,GoalKeeper,62,750.0,25,190,80,Östersunds FK,Cape Verde Islands
Zhao Xuri,Defense,62,2000.0,35,185,84,Dalian Professional Football Club,China PR
J. Fernández,Defense,71,9000.0,26,180,78,Newell's Old Boys,Argentina
Ł. Bejger,Defense,63,950.0,19,190,76,Śląsk Wrocław,Poland
N. Okello,Midfield,59,900.0,20,193,77,Toronto FC,Canada
Fali Candé,Defense,67,2000.0,23,184,76,Portimonense SC,Guinea Bissau
H. Siquet,Defense,69,2000.0,18,175,66,Standard de Liège,Belgium
João Monteiro,GoalKeeper,60,600.0,20,186,80,Belenenses SAD,Portugal
Nuno da Silva,Midfield,62,3000.0,27,170,65,Grasshopper Club Zürich,Portugal
J. McGarry,Defense,62,800.0,23,180,75,Wellington Phoenix,New Zealand
M. Cuero,Midfield,73,14000.0,28,178,83,Club Atlético Banfield,Colombia
S. Balić,Defense,66,3000.0,31,185,78,Zagłębie Lubin,Montenegro
L. Bodnar,Defense,58,700.0,21,185,73,Perth Glory,Australia
J. Eskesen,Midfield,62,2000.0,22,175,68,SønderjyskE,Denmark
M. Stefel,Midfield,62,3000.0,25,184,80,SC Rheindorf Altach,Austria
P. Greil,Midfield,65,3000.0,24,184,75,SK Austria Klagenfurt,Austria
G. Hein,Midfield,68,3000.0,24,170,65,AJ Auxerre,France
A. Vilches,Offense,69,2000.0,29,180,80,Unión La Calera,Chile
F. Blake-Tracy,Defense,61,1000.0,25,183,64,Burton Albion,England
M. Correia,Defense,68,6000.0,32,186,81,SC Paderborn 07,Portugal
Unai Arieta,Offense,60,2000.0,22,175,70,SD Eibar,Spain
Y. Wissa,Offense,75,37000.0,24,176,74,Brentford,Congo DR
R. Hope-Gund,Defense,58,900.0,21,185,77,Orlando City Soccer Club,United States
E. Saavedra,Midfield,69,550.0,25,173,66,Club Bolívar,Bolivia
Marcos Alonso,Defense,79,95000.0,30,188,85,Chelsea,Spain
Lee Tae Suk,Defense,50,500.0,18,174,70,FC Seoul,Korea Republic
H. Van der Saag,Defense,56,1000.0,21,183,77,Sydney FC,Australia
Hugo Rubiães,Defense,72,15000.0,25,175,75,Fluminense,Brazil
A. Read,Midfield,60,1000.0,21,178,64,Stevenage,England
Morato,Defense,68,4000.0,20,190,88,SL Benfica,Brazil
C. Vestergaard,Defense,53,1000.0,20,193,76,Odense Boldklub,Denmark
N. Ortigoza,Defense,70,6000.0,36,180,78,San Lorenzo de Almagro,Paraguay
T. Allen,Offense,58,3000.0,21,178,72,Forest Green Rovers,England
C. Adam,Defense,67,2000.0,35,185,83,Dundee FC,Scotland
W. Zaha,Offense,82,85000.0,28,180,66,Crystal Palace,Côte d'Ivoire
K. Haug,GoalKeeper,61,650.0,23,187,85,Vålerenga Fotball,Norway
H. Dean,Defense,71,14000.0,29,191,75,Birmingham City,England
H. Mita,Midfield,67,4000.0,30,173,65,FC Tokyo,Japan
B. Hübner,Defense,75,28000.0,31,193,86,TSG Hoffenheim,Germany
H. Marcelin,Defense,71,18000.0,21,197,82,AS Monaco,France
S. Pereira,Defense,53,500.0,23,172,61,FC Goa,India
C. Burgess,Defense,68,7000.0,29,196,84,Royale Union Saint-Gilloise,England
L. Palmer,Defense,68,3000.0,29,183,81,Sheffield Wednesday,Scotland
S. Rochet,GoalKeeper,76,1000.0,28,190,82,Club Nacional de Football,Uruguay
F. Torsteinbø,Defense,64,1000.0,30,182,74,Viking FK,Norway
M. Knoester,Defense,68,3000.0,22,186,77,Heracles Almelo,Netherlands
Olasagasti,Defense,66,2000.0,20,176,74,Real Sociedad B,Spain
L. Leahy,Defense,65,3000.0,28,178,73,Shrewsbury Town,England
B. Nastić,Defense,67,4000.0,26,181,75,Jagiellonia Białystok,Bosnia and Herzegovina
A. Schott,Defense,65,3000.0,21,175,72,Platense,Argentina
Y. Uchida,Defense,65,1000.0,26,171,62,Sagan Tosu,Japan
Bruma,Midfield,76,18000.0,26,173,70,PSV,Portugal
J. van Overeem,Defense,73,14000.0,27,181,71,FC Utrecht,Netherlands
Ł. Poręba,Defense,63,1000.0,21,180,70,Zagłębie Lubin,Poland
T. Břečka,Defense,67,5000.0,27,185,79,Kasimpaşa SK,Czech Republic
G. Hoarau,Offense,70,12000.0,37,193,85,FC Sion,France
R. Hirose,Defense,67,3000.0,25,176,68,Kashima Antlers,Japan
A. Johansson,Defense,67,1000.0,39,184,72,Halmstads BK,Sweden
T. Wolff,Midfield,54,550.0,18,174,70,Atlanta United,United States
J. Björkengren,Defense,65,1000.0,22,182,78,Lecce,Sweden
Marlinito Dias,Defense,70,7000.0,25,189,84,Fortaleza,Brazil
T. Nianzou,Defense,71,18000.0,19,187,83,FC Bayern München,France
D. Prosser,Offense,61,3000.0,27,175,70,SønderjyskE,Hungary
I. Pettersson,GoalKeeper,70,3000.0,24,181,84,Toulouse Football Club,Sweden
K. Grosicki,Midfield,71,7000.0,33,180,78,Pogoń Szczecin,Poland
K. Rosenberry,Defense,71,5000.0,27,173,73,Colorado Rapids,United States
M. Greve,Midfield,68,7000.0,26,186,77,Brøndby IF,Denmark
C. Witzig,Midfield,52,1000.0,20,178,69,FC St. Gallen 1879,Switzerland
A. Richardson,Defense,62,850.0,19,190,77,Le Havre AC,France
S. Nurković,Offense,72,850.0,29,187,80,Kaizer Chiefs,Serbia
M. Fixelles,Midfield,67,5000.0,24,181,78,KV Kortrijk,Belgium
L. Hinterseer,Offense,69,14000.0,30,192,86,Hannover 96,Austria
E. Sevikyan,Midfield,63,3000.0,19,175,70,Levante Unión Deportiva,Russia
Y. En-Nesyri,Offense,82,37000.0,24,188,78,Sevilla FC,Morocco
R. Raposo,Midfield,60,1000.0,22,170,64,Vancouver Whitecaps FC,Canada
D. Rots,Offense,61,1000.0,19,179,67,FC Twente,Netherlands
T. Sang,Defense,62,5000.0,22,185,74,Cardiff City,England
F. Sollacaro,GoalKeeper,61,950.0,27,181,75,AC Ajaccio,France
J. Magennis,Offense,69,8000.0,30,188,92,Hull City,Northern Ireland
Thiago Martins,Defense,69,6000.0,26,185,76,Yokohama F. Marinos,Brazil
Huang Ruifeng,Defense,48,1000.0,21,180,67,Shenzhen FC,China PR
D. Paraschiv,Offense,59,3000.0,22,180,76,FC Voluntari,Romania
R. Griffiths,Defense,66,4000.0,33,187,86,Melbourne City FC,Australia
Y. Nagatomo,Defense,73,9000.0,34,170,68,FC Tokyo,Japan
Z. Clough,Midfield,64,3000.0,26,170,64,Carlisle United,England
Ángel,Offense,78,31000.0,34,172,68,RCD Mallorca,Spain
Luisinho Conradi,Defense,71,6000.0,21,174,78,Fortaleza,Brazil
Chanza,GoalKeeper,62,950.0,23,182,74,UD Ibiza,Spain
T. Hendriks,GoalKeeper,55,600.0,19,186,76,Fortuna Sittard,Netherlands
J. Grant,Midfield,68,6000.0,26,178,70,Peterborough United,England
A. Mosór,Defense,55,500.0,18,184,81,Piast Gliwice,Poland
Negredo,Offense,78,27000.0,35,186,86,Cádiz CF,Spain
S. Grehan,Defense,49,500.0,17,184,80,Bohemian FC,Republic of Ireland
O. Govea,Midfield,70,8000.0,25,174,74,SV Zulte Waregem,Mexico
M. Abline,Offense,66,5000.0,18,176,70,Stade Rennais FC,France
Bruno Fagundeiro,Midfield,69,6000.0,21,169,69,Cuiabá,Brazil
F. Downes,Defense,66,7000.0,22,173,70,Swansea City,England
A. Long,Defense,75,9000.0,28,185,86,New York Red Bulls,United States
S. Portocarrero,Defense,63,500.0,24,170,67,Club Social y Deportivo Macará,Ecuador
Ricardo Fernandes,GoalKeeper,64,1000.0,26,193,79,Santa Clara,Portugal
B. Konaté,Midfield,63,2000.0,25,183,67,CF Fuenlabrada,France
Pol García,Defense,69,5000.0,26,185,76,Fútbol Club Juárez,Spain
F. Díaz,Defense,69,500.0,37,170,70,Club Nacional,Colombia
C. Davies,Defense,70,6000.0,36,188,76,Derby County,England
N. Skyttä,Midfield,62,900.0,19,170,69,Toulouse Football Club,Finland
M. Salem,Defense,66,4000.0,35,178,78,Al Raed,Saudi Arabia
A. Zreľák,Offense,65,1000.0,27,183,80,Warta Poznań,Slovakia
C. Bălgrădean,GoalKeeper,69,6000.0,33,186,88,CFR Cluj,Romania
B. Kelly,GoalKeeper,51,500.0,17,183,80,Rochdale,England
Z. Debast,Defense,61,500.0,17,191,83,RSC Anderlecht,Belgium
L. Moser,GoalKeeper,65,4000.0,21,196,88,SK Austria Klagenfurt,Germany
S. Serdar,Defense,76,35000.0,24,184,75,Hertha BSC,Germany
J. Espínola,GoalKeeper,70,5000.0,26,185,89,Godoy Cruz,Paraguay
K. Podliński,Offense,62,2000.0,23,194,89,Zagłębie Lubin,Poland
C. Benteke,Offense,75,50000.0,30,190,83,Crystal Palace,Belgium
J. Davison,Offense,61,1000.0,21,188,79,Charlton Athletic,England
J. Gelhardt,Midfield,66,13000.0,19,175,76,Leeds United,England
B. Šatkus,Defense,58,1000.0,20,192,83,1. FC Nürnberg,Lithuania
P. McGowan,Midfield,64,2000.0,33,170,65,Dundee FC,Scotland
M. Álvarez,GoalKeeper,70,6000.0,32,185,86,Club Atlético Independiente,Argentina
R. Tsunoda,Defense,56,2000.0,22,183,77,Yokohama F. Marinos,Japan
L. Haysen,Defense,49,1000.0,19,183,72,SønderjyskE,Denmark
B. Rivero,Defense,67,5000.0,25,178,74,Defensa y Justicia,Argentina
J. Van Rankin,Defense,71,26000.0,28,178,73,Portland Timbers,Mexico
Shao Puliang,GoalKeeper,62,1000.0,31,187,83,Shijiazhuang Ever Bright F.C.,China PR
Lee Ju Yong,Defense,64,3000.0,28,180,78,Jeonbuk Hyundai Motors,Korea Republic
Herculano,Offense,63,500.0,17,182,81,Vitória de Guimarães,Portugal
Zhang Zijian,Defense,54,1000.0,24,186,82,Changchun Yatai FC,China PR
J. Nardoni,Midfield,65,1000.0,18,169,59,Unión de Santa Fe,Argentina
B. Valette,GoalKeeper,64,2000.0,28,185,80,AS Nancy Lorraine,France
E. Skistad,Midfield,54,550.0,20,175,70,Mjøndalen IF,Norway
W. Golla,Defense,65,2000.0,29,186,80,Śląsk Wrocław,Poland
Nuno Padrenda,Midfield,77,37000.0,25,180,75,Clube Atlético Mineiro,Brazil
C. Wickham,Offense,67,13000.0,28,191,90,Preston North End,England
A. Kumar,Defense,54,500.0,24,174,65,Bengaluru FC,India
Tiago Araújo,Midfield,67,3000.0,20,184,79,FC Arouca,Portugal
A. Lennon,Midfield,73,28000.0,34,165,63,Burnley,England
M. Valor,Defense,60,1000.0,21,185,83,Atlético Tucumán,Argentina
Emilio Piodão,Defense,75,13000.0,29,177,78,Bahia,Brazil
R. Kruse,Midfield,67,4000.0,32,179,70,Melbourne Victory,Australia
L. Mejía,GoalKeeper,75,600.0,30,190,80,Centro Atlético Fénix,Panama
Atienza,Defense,67,4000.0,22,186,77,SD Eibar,Spain
T. Lumanza Lembi,Defense,65,1000.0,27,178,70,Stabæk Fotball,Belgium
M. Depay,Offense,85,220000.0,27,176,78,FC Barcelona,Netherlands
M. Cauteruccio,Midfield,70,8000.0,34,180,76,Club Atlético Aldosivi,Uruguay
G. Bellagambi,GoalKeeper,54,500.0,19,189,75,Huddersfield Town,England
A. Batisse,Defense,67,2000.0,26,186,87,Pau FC,France
B. Scorza,Offense,54,500.0,20,176,72,Centro Atlético Fénix,Uruguay
O. Fallenius,Midfield,56,2000.0,19,181,70,Brøndby IF,Sweden
A. Bodart,GoalKeeper,73,8000.0,23,186,80,Standard de Liège,Belgium
P. Jones,Defense,74,73000.0,29,185,71,Manchester United,England
Jofre Carreras,Offense,69,7000.0,20,175,70,RCD Espanyol de Barcelona,Spain
Manu García,Midfield,73,8000.0,23,169,66,Deportivo Alavés,Spain
F. Ángel,Defense,62,500.0,20,172,63,Junior FC,Colombia
C. Erkin,Defense,75,14000.0,32,181,72,Fatih Karagümrük S.K.,Turkey
Marrony,Offense,67,9000.0,22,186,77,FC Midtjylland,Brazil
B. Johnsplass,Defense,54,500.0,17,178,72,FK Bodø/Glimt,Norway
Carlos Mendes Gomes,Midfield,67,5000.0,22,178,66,Luton Town,Spain
T. Mase,Defense,60,800.0,23,175,70,Vegalta Sendai,Japan
J. Sørensen,Defense,70,15000.0,23,184,77,Norwich City,Denmark
J. Marquis,Offense,66,5000.0,29,185,80,Portsmouth,England
J. Clasie,Defense,72,8000.0,30,169,66,AZ Alkmaar,Netherlands
M. Ram,Defense,56,1000.0,20,191,84,Wycombe Wanderers,England
M. Byrne,Midfield,52,500.0,20,178,74,Sligo Rovers,Republic of Ireland
Lucas Áfrico,Defense,70,5000.0,26,187,79,Estoril Praia,Brazil
A. Petagna,Offense,76,56000.0,26,190,85,Napoli,Italy
H. Tijanovich,Midfield,67,5000.0,25,173,68,Platense,Argentina
Olguín,Defense,60,1000.0,20,180,75,CD Mirandés,Spain
M. Nemil,Midfield,53,500.0,19,168,65,FC Goa,India
N. Peñailillo,Defense,68,6000.0,29,186,75,Unión de Santa Fe,Chile
Adama Traoré,Defense,78,79000.0,25,178,72,Wolverhampton Wanderers,Spain
T. Tormin,Offense,61,1000.0,20,172,67,Chamois Niortais Football Club,France
C. Mizell,GoalKeeper,56,1000.0,29,185,85,New York City FC,United States
B. Doukansy,Defense,62,950.0,21,188,67,Chamois Niortais Football Club,France
G. Bushchan,GoalKeeper,75,750.0,27,196,84,Dynamo Kyiv,Ukraine
K. Dawson,GoalKeeper,75,950.0,29,179,81,Club Atlético Peñarol,Uruguay
J. Ankersen,Midfield,68,6000.0,30,178,71,Randers FC,Denmark
L. Villalba,Defense,72,10000.0,26,180,75,Argentinos Juniors,Argentina
J. Orejuela,Defense,65,500.0,28,179,75,CS Emelec,Ecuador
Sun Bo,Midfield,59,3000.0,30,177,73,Dalian Professional Football Club,China PR
D. Cvetinović,Defense,64,1000.0,32,186,79,Tokushima Vortis,Serbia
Robson,Defense,68,500.0,28,180,77,Club Atlético Palmaflor,Brazil
E. Rolón,Defense,68,6000.0,26,178,70,Boca Juniors,Argentina
M. Arnold,Defense,81,66000.0,27,184,74,VfL Wolfsburg,Germany
D. Zuma,Midfield,70,600.0,26,169,72,Kaizer Chiefs,South Africa
I. Olaofe,Offense,60,2000.0,21,178,82,Sutton United,England
Z. Muñoz,Midfield,61,6000.0,20,175,68,Club Atlético de San Luis,Mexico
R. Dickie,Defense,72,12000.0,25,195,74,Queens Park Rangers,England
L. Freeman,Midfield,70,17000.0,29,172,73,Sheffield United,England
J. Delem,Defense,64,2000.0,28,180,71,Seattle Sounders FC,France
P. Da Silva,Defense,67,500.0,41,180,76,12 de Octubre FC,Paraguay
M. Nakajima,Midfield,64,2000.0,22,170,66,Cerezo Osaka,Japan
V. Koziello,Midfield,70,7000.0,25,168,58,KV Oostende,France
P. Boer,GoalKeeper,54,2000.0,19,193,80,Roma,Italy
T. Schreiber,GoalKeeper,60,3000.0,19,190,87,Hallescher FC,Germany
F. Gorriarán,Defense,77,22000.0,26,168,68,Santos Laguna,Uruguay
Á. Zamudio,GoalKeeper,65,500.0,24,181,70,Sport Huancayo,Peru
C. Ronan,Midfield,65,15000.0,23,170,70,St. Mirren,Republic of Ireland
M. Murphy,Defense,52,500.0,20,182,66,Shamrock Rovers,Republic of Ireland
Iñigo Vicente,Midfield,70,13000.0,23,178,70,CD Mirandés,Spain
R. Alborno,Defense,62,500.0,27,183,73,Guaireña FC,Paraguay
J. Pulskamp,GoalKeeper,62,750.0,20,188,86,Sporting Kansas City,United States
S. Sarr,Defense,67,2000.0,25,196,75,Nîmes Olympique,Senegal
C. Lewis,Midfield,64,1000.0,24,173,72,Wellington Phoenix,New Zealand
K. Krasniqi,Midfield,56,650.0,20,183,65,Strømsgodset IF,Kosovo
N. Mickelson,Defense,62,2000.0,21,185,80,Odense Boldklub,Norway
D. Lazović,Midfield,76,26000.0,30,181,66,Hellas Verona,Serbia
A. Broja,Offense,70,29000.0,19,191,75,Southampton,Albania
M. Sissako,Defense,68,5000.0,20,188,82,Standard de Liège,Mali
J. de Lange,GoalKeeper,62,1000.0,23,188,78,FC Twente,Netherlands
H. Kessler,Defense,67,2000.0,23,193,84,New England Revolution,United States
K. Anderson,Midfield,65,4000.0,26,175,71,Blackpool,England
M. Mignon,GoalKeeper,59,2000.0,30,184,80,Seraing,Belgium
M. Kolke,GoalKeeper,70,5000.0,30,187,91,F.C. Hansa Rostock,Germany
O. Ademi,Offense,61,2000.0,29,188,86,MSV Duisburg,Switzerland
M. Albæk,Defense,67,5000.0,31,182,77,SønderjyskE,Denmark
P. Bourdin,Defense,68,5000.0,27,186,84,K Beerschot VA,France
Adrián González,Midfield,68,5000.0,33,184,75,Real Zaragoza,Spain
Hu Xingyu,Midfield,47,800.0,19,178,68,Chongqing Liangjiang Athletic,China PR
A. Hausch,Offense,62,1000.0,18,175,65,San Lorenzo de Almagro,Argentina
D. Roef,GoalKeeper,71,11000.0,27,187,87,KAA Gent,Belgium
R. Scott,GoalKeeper,60,500.0,25,184,85,Western United FC,Australia
P. McMullan,Midfield,64,2000.0,25,168,68,Dundee FC,Scotland
H. Wise,Midfield,59,6000.0,21,178,69,Watford,England
I. Sissoko,Defense,72,15000.0,23,193,90,RC Strasbourg Alsace,France
Paulo Daineiro,Midfield,68,6000.0,25,168,62,Ceará Sporting Club,Brazil
J. Carbonero,Midfield,67,5000.0,21,170,75,Gimnasia y Esgrima La Plata,Colombia
G. Borello,Offense,60,2000.0,22,167,60,Crotone,Italy
M. Vandevoordt,GoalKeeper,71,3000.0,19,190,79,KRC Genk,Belgium
M. Sosa,Offense,62,2000.0,19,179,77,Club Atlético Talleres,Argentina
R. Framberger,Defense,71,14000.0,25,179,76,FC Augsburg,Germany
M. Schuster,Defense,67,5000.0,25,179,77,SC Paderborn 07,Germany
Fabiano Sonta,Defense,72,16000.0,29,181,82,Fluminense,Brazil
A. Ramos,Offense,72,3000.0,35,186,78,América de Cali,Colombia
K. Fobi,Defense,63,4000.0,22,180,75,Granada CF,Ghana
Chris Farminhão,Defense,66,7000.0,25,187,77,Grêmio,Brazil
J. Damm,Midfield,71,6000.0,28,185,70,Atlanta United,Mexico
H. Behrens,Midfield,69,6000.0,31,188,82,F.C. Hansa Rostock,Germany
Y. Benrahou,Midfield,73,6000.0,22,170,68,Nîmes Olympique,Morocco
A. Matko,Offense,63,1000.0,21,177,75,Hammarby IF,Slovenia
S. Naveda,Defense,69,15000.0,20,176,74,Club América,Mexico
D. Dziwniel,Defense,62,950.0,28,178,72,Górnik Łęczna,Poland
